Sample	Dog_PCA	Wolf_Dog_PCA
GL15.12	Arctic_Dogs	Arctic_Dogs
GL15.26	Arctic_Dogs	Arctic_Dogs
GL15.27	Arctic_Dogs	Arctic_Dogs
GL15.44	Arctic_Dogs	Arctic_Dogs
GL15.49	Arctic_Dogs	Arctic_Dogs
GL15.52	Arctic_Dogs	Arctic_Dogs
GL15.61	Arctic_Dogs	Arctic_Dogs
GL15.62	Arctic_Dogs	Arctic_Dogs
GL15.63	Arctic_Dogs	Arctic_Dogs
GL28.02	Arctic_Dogs	Arctic_Dogs
GermanHuntingTerrier01	European_Dogs	European_Dogs
GermanShepherd01	European_Dogs	European_Dogs
GermanShepherd02	European_Dogs	European_Dogs
GermanShepherd03	European_Dogs	European_Dogs
GermanShepherd04	European_Dogs	European_Dogs
GermanShepherd05	European_Dogs	European_Dogs
GermanShepherd06	European_Dogs	European_Dogs
GermanShepherd07	European_Dogs	European_Dogs
GermanShepherd08	European_Dogs	European_Dogs
GermanShepherd09	European_Dogs	European_Dogs
GermanShepherd10	European_Dogs	European_Dogs
GermanShepherd11	European_Dogs	European_Dogs
GermanShepherd12	European_Dogs	European_Dogs
GermanShepherd13	European_Dogs	European_Dogs
GermanShepherd14	European_Dogs	European_Dogs
GermanShepherd15	European_Dogs	European_Dogs
GermanShepherd16_12786	European_Dogs	European_Dogs
GermanShepherd17_13170	European_Dogs	European_Dogs
GermanShepherd18_14567	European_Dogs	European_Dogs
GermanShepherd19_30892	European_Dogs	European_Dogs
GermanShepherd20_30910	European_Dogs	European_Dogs
GermanShepherd21_30925	European_Dogs	European_Dogs
GermanShepherd22_30958	European_Dogs	European_Dogs
GermanShepherd23_35050	European_Dogs	European_Dogs
GermanShepherd24_35053	European_Dogs	European_Dogs
GermanShepherd25_35054	European_Dogs	European_Dogs
GermanShepherd26_35063	European_Dogs	European_Dogs
GermanShepherd27	European_Dogs	European_Dogs
GermanShepherd28	European_Dogs	European_Dogs
GermanShepherd29	European_Dogs	European_Dogs
GermanShorthairedPointer01_30644	European_Dogs	European_Dogs
GermanShorthairedPointer02_30645	European_Dogs	European_Dogs
GermanWirehairedPointer01	European_Dogs	European_Dogs
GermanWirehairedPointer02_2484	European_Dogs	European_Dogs
GermanWirehairedPointer03_2486	European_Dogs	European_Dogs
GiantSchnauzer01_20570	European_Dogs	European_Dogs
GiantSchnauzer02_21940	European_Dogs	European_Dogs
GiantSchnauzer03_21939	European_Dogs	European_Dogs
